Aktualisiert;E-Mail Kontakt;Geographische Abdeckung;Geographische Granularität;Kategorie;Kommentare;Lizenz;Veröffentlichende Stelle;Veröffentlicht;Website;Zeitliche Granularität;Zeitperiode;_collection_date;_title;_type;_url;tags;
23.10.2014;Stefan.Eisermann AT BSR.de;;;['Ver- und Entsorgung'];0;Creative Commons Namensnennung;Berliner Stadtreinigung (BSR);05.09.2013;http://www.bsr.de/14068.html;;;2014-10-24 12:45:18;BSR Recyclinghöfe und Abfall-ABC;dataset;http://daten.berlin.de/datensaetze/bsr-recyclingh%C3%B6fe-und-abfall-abc;[];
23.10.2014;uwe.matz AT ichtenberg.berlin.de;Lichtenberg;Berlin;['Sonstiges'];0;Creative Commons Namensnennung;Jugendamt Lichtenberg;27.10.2011;http://www.berlin.de/ba-lichtenberg/buergerservice/familie/tagespflege/;Keine;23.10.2014;2014-10-24 12:45:18;Tagespflegestellen im Bezirk Lichtenberg;dataset;http://daten.berlin.de/datensaetze/tagespflegestellen-im-bezirk-lichtenberg;[];
23.10.2014;kerstin.nieber AT lichtenberg.berlin.de;Lichtenberg;Bezirk;['Sport und Erholung'];0;Creative Commons Namensnennung;Jugendamt Lichtenberg;25.08.2010;http://www.berlin.de/ba-lichtenberg/freizeit/sport/jfe/;Keine;23.10.2014;2014-10-24 12:45:19;Einrichtungen und Projekte für Kinder, Jugendliche und Familien;dataset;http://daten.berlin.de/datensaetze/einrichtungen-und-projekte-f%C3%BCr-kinder-jugendliche-und-familien;[];
22.10.2014;ralf.eberhardt AT senwtf.berlin.de;Berlin;Berlin;['Tourismus'];0;Creative Commons Namensnennung;Berlin.de;17.10.2014;http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/weihnachtsmaerkte/;Keine;22.10.2014;2014-10-24 12:45:19;Berliner Weihnachtsmärkte 2014;dataset;http://daten.berlin.de/datensaetze/berliner-weihnachtsm%C3%A4rkte-2014;[];
16.10.2014;ralf.eberhardt AT senwtf.berlin.de;Berlin;Berlin;['Sonstiges'];2;Creative Commons Namensnennung;Senatsverwaltung für Wirtschaft, Technologie und Forschung;15.04.2014;http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/wochen-troedelmaerkte/;Keine;16.10.2014;2014-10-24 12:45:19;Wochen- und Trödelmärkte;dataset;http://daten.berlin.de/datensaetze/wochen-und-tr%C3%B6delm%C3%A4rkte;[];
16.10.2014;ralf.eberhardt AT senwtf.berlin.de;Berlin;Berlin;['Sonstiges'];1;Creative Commons Namensnennung;Senatsverwaltung für Wirtschaft, Technologie und Forschung;15.04.2014;http://www.berlin.de/sen/wirtschaft/service/maerkte-feste/strassen-volksfeste/;Keine;16.10.2014;2014-10-24 12:45:19;Straßen- und Volksfeste;dataset;http://daten.berlin.de/datensaetze/stra%C3%9Fen-und-volksfeste;[];
16.10.2014;Wolfgang.Both AT senwtf.berlin.de;;;['Kunst und Kultur'];0;Creative Commons Namensnennung;BerlinOnline Stadtportal GmbH & Co KG;06.06.2013;http://www.berlin.de/geschichte/verbannte-buecher/;;vom 30.01.1933 bis 08.05.1945;2014-10-24 12:45:19;Liste der verbannten Bücher;dataset;http://daten.berlin.de/datensaetze/liste-der-verbannten-b%C3%BCcher;[];
15.10.2014;Webmaster AT lageso.berlin.de;Berlin;Berlin;['Sonstiges'];0;Creative Commons Weitergabe unter gleichen Bedingungen;Landesamt für Gesundheit und Soziales;03.08.2012;http://www.berlin.de/lageso/soziales/heimaufsicht/pruefberichte/;Keine;15.10.2014;2014-10-24 12:45:19;Prüfberichte der Berliner Heimaufsicht;dataset;http://daten.berlin.de/datensaetze/pr%C3%BCfberichte-der-berliner-heimaufsicht;[];
14.10.2014;dagmar.haenisch AT lichtenberg.berlin.de;;;['Öffentliche Verwaltung, Haushalt und Steuern'];0;Creative Commons Namensnennung;Bezirksamt Lichtenberg;06.02.2014;www.lichtenberg.berlin.de;;;2014-10-24 12:45:19;Kamerale Monatsdaten Bezirk Lichtenberg 2014;dataset;http://daten.berlin.de/datensaetze/kamerale-monatsdaten-bezirk-lichtenberg-2014;[];
10.10.2014;sabrina.kirmse AT ba-tk.berlin.de;Treptow-Köpenick;Bezirk;['Protokolle und Beschlüsse'];0;Creative Commons Namensnennung;Bezirksamt Treptow-Köpenick, Büro des Bezirksbürgermeisters;23.06.2014;http://www.berlin.de/ba-treptow-koepenick/politik-und-verwaltung/bezirksamt/beschluesse/simple-search/;Keine;vom 12.06.2012 bis 21.10.2014;2014-10-24 12:45:19;Bezirksamtsbeschlüsse;dataset;http://daten.berlin.de/datensaetze/bezirksamtsbeschl%C3%BCsse;[];
07.10.2014;onlineredaktion AT senfin.berlin.de;;;['Protokolle und Beschlüsse'];0;Creative Commons Namensnennung;Senatsverwaltung für Finanzen;07.04.2014;http://www.berlin.de/sen/finanzen/service/downloadcenter/?q=&dokumentenname=--+Alles+--&kategorie%5B%5D=Senatsdokumente#results;;;2014-10-24 12:45:20;Senatsvorlagen der Senatsverwaltung für Finanzen;dataset;http://daten.berlin.de/datensaetze/senatsvorlagen-der-senatsverwaltung-f%C3%BCr-finanzen;[];
